 1: 2009.777710, 2009.777710 avg loss, 0.000000 rate, 3.194808 seconds, 32 images, -1.000000 hours left
 2: 2008.681274, 2009.668091 avg loss, 0.000000 rate, 3.236920 seconds, 64 images, 5.323922 hours left
 3: 2006.834351, 2009.384766 avg loss, 0.000000 rate, 3.365958 seconds, 96 images, 5.324615 hours left
 4: 2008.635986, 2009.309937 avg loss, 0.000000 rate, 3.155465 seconds, 128 images, 5.327442 hours left
 5: 2008.690918, 2009.248047 avg loss, 0.000000 rate, 3.222652 seconds, 160 images, 5.326725 hours left
 6: 2009.589722, 2009.282227 avg loss, 0.000000 rate, 3.303379 seconds, 192 images, 5.327126 hours left
 7: 2008.155273, 2009.169556 avg loss, 0.000000 rate, 3.296484 seconds, 224 images, 5.328857 hours left
 8: 2008.707397, 2009.123291 avg loss, 0.000000 rate, 3.369077 seconds, 256 images, 5.330447 hours left
 9: 2007.151245, 2008.926147 avg loss, 0.000000 rate, 3.192696 seconds, 288 images, 5.335717 hours left
 10: 2009.374268, 2008.970947 avg loss, 0.000000 rate, 3.401087 seconds, 320 images, 5.337707 hours left
 11: 1803.013916, 1988.375244 avg loss, 0.000000 rate, 3.020096 seconds, 352 images, 5.340922 hours left
 12: 1802.623779, 1969.800049 avg loss, 0.000000 rate, 3.086609 seconds, 384 images, 5.368856 hours left
 13: 1802.761108, 1953.096191 avg loss, 0.000000 rate, 3.025647 seconds, 416 images, 5.372230 hours left
 14: 1801.082275, 1937.894775 avg loss, 0.000000 rate, 3.021878 seconds, 448 images, 5.379332 hours left
 15: 1801.289062, 1924.234253 avg loss, 0.000000 rate, 2.929196 seconds, 480 images, 5.378799 hours left
 16: 1802.890015, 1912.099854 avg loss, 0.000000 rate, 2.953371 seconds, 512 images, 5.373711 hours left
 18: 1800.999878, 1891.177490 avg loss, 0.000000 rate, 2.990870 seconds, 576 images, 5.390451 hours left
 19: 1802.851929, 1882.344971 avg loss, 0.000000 rate, 3.069396 seconds, 608 images, 5.395066 hours left
 20: 1803.601562, 1874.470581 avg loss, 0.000000 rate, 2.927162 seconds, 640 images, 5.397631 hours left
 21: 802.620239, 1767.285522 avg loss, 0.000000 rate, 1.780804 seconds, 672 images, 5.405359 hours left
 22: 802.887329, 1670.845703 avg loss, 0.000000 rate, 1.714654 seconds, 704 images, 5.386460 hours left
 23: 802.170837, 1583.978271 avg loss, 0.000000 rate, 1.680204 seconds, 736 images, 5.396138 hours left
 24: 802.414734, 1505.821899 avg loss, 0.000000 rate, 1.700213 seconds, 768 images, 5.389429 hours left
 25: 802.464722, 1435.486206 avg loss, 0.000000 rate, 1.597439 seconds, 800 images, 5.395039 hours left
 26: 802.391113, 1372.176758 avg loss, 0.000000 rate, 1.648043 seconds, 832 images, 5.395443 hours left
 27: 801.142883, 1315.073364 avg loss, 0.000000 rate, 1.550107 seconds, 864 images, 5.393863 hours left
 28: 801.041199, 1263.670166 avg loss, 0.000000 rate, 1.689783 seconds, 896 images, 5.383498 hours left
 29: 801.758240, 1217.479004 avg loss, 0.000000 rate, 1.610361 seconds, 928 images, 5.366694 hours left
 30: 802.174377, 1175.948486 avg loss, 0.000000 rate, 1.727033 seconds, 960 images, 5.356549 hours left
 31: 1798.380493, 1238.191650 avg loss, 0.000000 rate, 3.070741 seconds, 992 images, 5.345156 hours left
 32: 1798.367065, 1294.209229 avg loss, 0.000000 rate, 2.996227 seconds, 1024 images, 5.347250 hours left
 33: 1796.097412, 1344.398071 avg loss, 0.000000 rate, 3.095326 seconds, 1056 images, 5.343674 hours left
 34: 1795.971924, 1389.555420 avg loss, 0.000000 rate, 2.882330 seconds, 1088 images, 5.348752 hours left
 35: 1795.170776, 1430.116943 avg loss, 0.000000 rate, 3.040774 seconds, 1120 images, 5.349315 hours left
 36: 1793.522705, 1466.457520 avg loss, 0.000000 rate, 3.008561 seconds, 1152 images, 5.346208 hours left
 37: 1793.384521, 1499.150269 avg loss, 0.000000 rate, 2.963166 seconds, 1184 images, 5.351218 hours left
 38: 1789.915161, 1528.226807 avg loss, 0.000000 rate, 2.912173 seconds, 1216 images, 5.353602 hours left
 39: 1788.922241, 1554.296387 avg loss, 0.000000 rate, 3.017598 seconds, 1248 images, 5.352426 hours left
 40: 1786.925293, 1577.559326 avg loss, 0.000000 rate, 3.011657 seconds, 1280 images, 5.352164 hours left
 41: 1410.148682, 1560.818237 avg loss, 0.000000 rate, 2.484730 seconds, 1312 images, 5.361817 hours left
 42: 1408.869019, 1545.623291 avg loss, 0.000000 rate, 2.398560 seconds, 1344 images, 5.394396 hours left
 43: 1405.333984, 1531.594360 avg loss, 0.000000 rate, 2.513233 seconds, 1376 images, 5.385167 hours left
 44: 1402.674438, 1518.702393 avg loss, 0.000000 rate, 2.442771 seconds, 1408 images, 5.374726 hours left
 45: 1399.822266, 1506.814331 avg loss, 0.000000 rate, 2.461544 seconds, 1440 images, 5.371685 hours left
 46: 1396.743774, 1495.807251 avg loss, 0.000000 rate, 2.521670 seconds, 1472 images, 5.368673 hours left
 47: 1393.914185, 1485.617920 avg loss, 0.000000 rate, 2.596099 seconds, 1504 images, 5.374287 hours left
 48: 1390.182007, 1476.074341 avg loss, 0.000000 rate, 2.431199 seconds, 1536 images, 5.388818 hours left
 49: 1385.701782, 1467.037109 avg loss, 0.000000 rate, 2.376718 seconds, 1568 images, 5.389016 hours left
 50: 1382.077271, 1458.541138 avg loss, 0.000000 rate, 2.628128 seconds, 1600 images, 5.376233 hours left
 51: 1742.445435, 1486.931519 avg loss, 0.000000 rate, 3.086858 seconds, 1632 images, 5.388646 hours left
 52: 1736.376953, 1511.876099 avg loss, 0.000000 rate, 3.022540 seconds, 1664 images, 5.397182 hours left
 53: 1729.064087, 1533.594849 avg loss, 0.000000 rate, 2.945853 seconds, 1696 images, 5.404416 hours left
 54: 1721.125488, 1552.347900 avg loss, 0.000000 rate, 3.045057 seconds, 1728 images, 5.405540 hours left
 55: 1713.454956, 1568.458618 avg loss, 0.000000 rate, 3.089158 seconds, 1760 images, 5.402820 hours left
 56: 1705.103638, 1582.123169 avg loss, 0.000000 rate, 3.112830 seconds, 1792 images, 5.400613 hours left
 57: 1695.487793, 1593.459595 avg loss, 0.000000 rate, 3.052402 seconds, 1824 images, 5.398337 hours left
 58: 1684.052002, 1602.518799 avg loss, 0.000000 rate, 3.191606 seconds, 1856 images, 5.404341 hours left
 59: 1673.520142, 1609.618896 avg loss, 0.000000 rate, 3.163699 seconds, 1888 images, 5.402979 hours left
 60: 1660.261719, 1614.683228 avg loss, 0.000000 rate, 2.912616 seconds, 1920 images, 5.417654 hours left
 61: 1144.204834, 1567.635376 avg loss, 0.000000 rate, 2.234072 seconds, 1952 images, 5.423548 hours left
 62: 1135.053833, 1524.377197 avg loss, 0.000000 rate, 2.261078 seconds, 1984 images, 5.445604 hours left
 63: 1125.916504, 1484.531128 avg loss, 0.000000 rate, 2.173524 seconds, 2016 images, 5.443770 hours left
 64: 1115.270020, 1447.604980 avg loss, 0.000000 rate, 2.216518 seconds, 2048 images, 5.432598 hours left
 65: 1106.310913, 1413.475586 avg loss, 0.000000 rate, 2.232117 seconds, 2080 images, 5.428097 hours left
 66: 1094.740723, 1381.602051 avg loss, 0.000000 rate, 2.238584 seconds, 2112 images, 5.429675 hours left
 67: 1083.529175, 1351.794800 avg loss, 0.000000 rate, 2.169034 seconds, 2144 images, 5.429173 hours left
 68: 1072.731934, 1323.888550 avg loss, 0.000000 rate, 2.201416 seconds, 2176 images, 5.421524 hours left
 69: 1061.102417, 1297.609985 avg loss, 0.000000 rate, 2.331336 seconds, 2208 images, 5.406412 hours left
 70: 1047.285156, 1272.577515 avg loss, 0.000000 rate, 2.288885 seconds, 2240 images, 5.395220 hours left
 71: 557.308899, 1201.050659 avg loss, 0.000000 rate, 1.651737 seconds, 2272 images, 5.383285 hours left
 72: 550.225037, 1135.968140 avg loss, 0.000000 rate, 1.656045 seconds, 2304 images, 5.371186 hours left
 73: 543.947388, 1076.766113 avg loss, 0.000000 rate, 1.693748 seconds, 2336 images, 5.374181 hours left
 74: 537.365479, 1022.826050 avg loss, 0.000000 rate, 1.549846 seconds, 2368 images, 5.370035 hours left
 75: 530.585266, 973.601990 avg loss, 0.000000 rate, 1.595466 seconds, 2400 images, 5.373369 hours left
 76: 523.452515, 928.587036 avg loss, 0.000000 rate, 1.582433 seconds, 2432 images, 5.372862 v3 (mse loss, Normalizer: (iou: 0.75, cls: 1.00) Region 82 Avg (IOU: 0.000000, GIOU: 0.000000), Class: 0.000000, Obj: 0.000000, No Obj: 0.530039, .5R: 0.000000, .75R: 0.000000, count: 1, class_loss = 107.727829, iou_loss = 0.000000, total_loss = 107.727829 
 77: 516.856567, 887.414001 avg loss, 0.000000 rate, 1.613577 seconds, 2464 images, 5.370995 hours left
 78: 509.685913, 849.641174 avg loss, 0.000000 rate, 1.585460 seconds, 2496 images, 5.360493 hours left
 79: 502.046417, 814.881714 avg loss, 0.000000 rate, 1.579031 seconds, 2528 images, 5.365698 hours left
 80: 497.696899, 783.163208 avg loss, 0.000000 rate, 1.618837 seconds, 2560 images, 5.360788 hours left
 81: 489.760345, 753.822937 avg loss, 0.000000 rate, 1.561404 seconds, 2592 images, 5.369911 hours left
 82: 483.363129, 726.776978 avg loss, 0.000000 rate, 1.589632 seconds, 2624 images, 5.385599 hours left
 83: 474.923645, 701.591675 avg loss, 0.000000 rate, 1.604021 seconds, 2656 images, 5.380564 hours left
 84: 468.979462, 678.330444 avg loss, 0.000000 rate, 1.519730 seconds, 2688 images, 5.365206 hours left
 85: 461.015991, 656.598999 avg loss, 0.000000 rate, 1.603345 seconds, 2720 images, 5.364360 hours left
 86: 453.609924, 636.300110 avg loss, 0.000000 rate, 1.492600 seconds, 2752 images, 5.343209 hours left
 87: 446.448456, 617.314941 avg loss, 0.000000 rate, 1.587593 seconds, 2784 images, 5.330500 hours left
 88: 440.178467, 599.601318 avg loss, 0.000000 rate, 1.585426 seconds, 2816 images, 5.312373 hours left
 89: 432.799316, 582.921143 avg loss, 0.000000 rate, 1.508448 seconds, 2848 images, 5.308829 hours left
 90: 425.382568, 567.167297 avg loss, 0.000000 rate, 1.611029 seconds, 2880 images, 5.303915 hours left
 91: 585.062683, 568.956848 avg loss, 0.000000 rate, 1.v3 (mse loss, Normalizer: (iou: 0.75, cls: 1.00) Region 82 Avg (IOU: 0.000000, GIOU: 0.000000), Class: 0.000000, Obj: 0.000000, No Obj: 0.510772, .5R: 0.000000, .75R: 0.000000, count: 1, class_loss = 139.935272, iou_loss = 0.000000, total_loss = 139.935272 
 92: 573.794006, 569.440552 avg loss, 0.000000 rate, 1.921146 seconds, 2944 images, 5.286511 hours left
 93: 561.974731, 568.693970 avg loss, 0.000000 rate, 1.913684 seconds, 2976 images, 5.281996 hours left
 94: 551.479065, 566.972473 avg loss, 0.000000 rate, 1.968957 seconds, 3008 images, 5.279956 hours left
 95: 538.615662, 564.136780 avg loss, 0.000000 rate, 1.990712 seconds, 3040 images, 5.276475 hours left
 96: 528.015686, 560.524658 avg loss, 0.000000 rate, 2.003438 seconds, 3072 images, 5.284833 hours left
 97: 513.871460, 555.859314 avg loss, 0.000000 rate, 1.877383 seconds, 3104 images, 5.271268 hours left
 98: 502.393921, 550.512756 avg loss, 0.000000 rate, 1.867610 seconds, 3136 images, 5.260388 hours left
 99: 486.713745, 544.132874 avg loss, 0.000000 rate, 1.935115 seconds, 3168 images, 5.263504 hours left
 100: 474.364777, 537.156067 avg loss, 0.000000 rate, 1.993870 seconds, 3200 images, 5.255553 hours left
 101: 884.332703, 571.873718 avg loss, 0.000000 rate, 2.991437 seconds, 3232 images, 5.264159 hours left
 102: 858.651978, 600.551514 avg loss, 0.000000 rate, 3.077779 seconds, 3264 images, 5.266972 hours left
 103: 831.616333, 623.658020 avg loss, 0.000000 rate, 2.897396 seconds, 3296 images, 5.264728 hours left
 104: 795.452881, 640.837524 avg loss, 0.000000 rate, 3.163222 seconds, 3328 images, 5.265400 hours left
 105: 769.716431, 653.725403 avg loss, 0.000000 rate, 3.102767 seconds, 3360 images, 5.264554 hours left
 106: 728.398987, 661.192749 avg loss, 0.000000 rate, 2.848694 seconds, 3392 images, 5.272161 hours left
 107: 697.269287, 664.800415 avg loss, 0.000000 rate, 2.919096 seconds, 3424 images, 5.272850 hov3 (mse loss, Normalizer: (iou: 0.75, cls: 1.00) Region 82 Avg (IOU: 0.211130, GIOU: 0.211130), Class: 0.798983, Obj: 0.589779, No Obj: 0.465831, .5R: 0.000000, .75R: 0.000000, count: 1, class_loss = 226.516724, iou_loss = 1.331055, total_loss = 227.847778 
 108: 660.038513, 664.324219 avg loss, 0.000000 rate, 2.884715 seconds, 3456 images, 5.267908 hours left
